lad_code,lad_name,pop2019
E09000007,Camden,270029
E09000001,City of London,9721
E09000012,Hackney,281120
E09000013,Hammersmith and Fulham,185143
E09000014,Haringey,268647
E09000019,Islington,242467
E09000020,Kensington and Chelsea,156129
E09000022,Lambeth,326034
E09000023,Lewisham,305842
E09000025,Newham,353134
E09000028,Southwark,318830
E09000030,Tower Hamlets,324745
E09000032,Wandsworth,329677
E09000033,Westminster,261317
E09000002,Barking and Dagenham,212906
E09000003,Barnet,395869
E09000004,Bexley,248287
E09000005,Brent,329771
E09000006,Bromley,332336
E09000008,Croydon,386710
E09000009,Ealing,341806
E09000010,Enfield,333794
E09000011,Greenwich,287942
E09000015,Harrow,251160
E09000016,Havering,259552
E09000017,Hillingdon,306870
E09000018,Hounslow,271523
E09000021,Kingston upon Thames,177507
E09000024,Merton,206548
E09000026,Redbridge,305222
E09000027,Richmond upon Thames,198019
E09000029,Sutton,206349
E09000031,Waltham Forest,276983
