"ward_code","jan_2020","feb_2020","mar_2020","apr_2020","may_2020","jun_2020","jul_2020","aug_2020","sept_2020","oct_2020","nov_2020","dec_2020"
"E05000026",30,28,25,6,12,13,11,10,21,21,17,26
"E05000027",2,1,1,1,1,NA,3,1,1,3,2,2
"E05000028",1,1,2,2,2,1,NA,1,NA,1,3,2
"E05000029",NA,NA,NA,NA,2,NA,2,NA,NA,NA,2,NA
"E05000030",3,NA,NA,1,NA,1,NA,3,3,1,NA,2
"E05000031",4,NA,4,2,1,NA,1,1,NA,3,1,NA
"E05000032",NA,NA,2,NA,2,3,2,1,4,3,2,1
"E05000033",1,2,5,NA,NA,1,NA,1,NA,1,2,NA
"E05000034",1,NA,1,NA,1,2,1,NA,NA,1,1,1
"E05000035",3,4,NA,NA,4,2,3,3,1,3,1,NA
"E05000036",3,3,2,1,1,NA,1,1,NA,1,NA,NA
"E05000037",NA,NA,2,NA,1,NA,NA,1,1,1,NA,NA
"E05000038",3,NA,1,1,NA,3,3,NA,2,3,6,4
"E05000039",2,1,2,1,5,NA,3,1,NA,1,1,1
"E05000040",NA,NA,3,NA,NA,NA,NA,1,2,NA,2,NA
"E05000041",2,2,3,2,1,1,1,3,NA,2,1,1
"E05000042",NA,NA,1,1,NA,NA,1,1,1,1,1,3
"E05000043",1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2
"E05000044",1,1,2,NA,NA,NA,1,1,NA,NA,7,2
"E05000045",5,5,5,NA,2,2,NA,4,6,5,7,11
"E05000046",1,1,1,2,1,NA,1,2,NA,NA,2,1
"E05000047",2,4,2,NA,1,NA,1,1,2,NA,2,2
"E05000048",2,NA,1,NA,NA,1,1,NA,NA,NA,1,NA
"E05000049",1,4,NA,2,1,3,NA,1,2,3,NA,1
"E05000050",7,7,4,NA,1,2,6,4,5,5,3,6
"E05000051",3,NA,NA,NA,NA,2,NA,1,NA,NA,1,NA
"E05000052",2,1,5,1,NA,1,2,1,1,1,2,1
"E05000053",2,2,1,NA,1,1,3,1,2,1,1,1
"E05000054",2,1,NA,NA,NA,2,NA,1,NA,NA,1,1
"E05000055",1,8,4,2,NA,NA,1,1,3,2,1,NA
"E05000056",2,6,1,2,1,2,4,2,2,4,NA,4
"E05000057",3,2,NA,1,NA,NA,NA,2,1,NA,NA,2
"E05000058",1,NA,3,2,1,NA,2,NA,NA,3,2,NA
"E05000059",2,1,1,NA,1,2,2,2,NA,1,2,2
"E05000060",NA,1,1,NA,1,NA,NA,NA,NA,1,NA,1
"E05000061",3,10,3,2,NA,1,3,3,5,4,3,4
"E05000062",14,17,7,NA,1,4,28,30,4,9,4,7
"E05000063",3,5,5,NA,2,2,3,2,2,4,3,4
"E05000085",3,1,1,NA,NA,NA,2,1,NA,2,1,1
"E05000086",3,3,5,NA,NA,NA,NA,1,2,1,1,2
"E05000087",1,2,2,3,NA,1,1,NA,1,2,2,1
"E05000088",2,3,1,2,1,1,1,NA,2,NA,NA,NA
"E05000089",1,3,2,2,1,1,2,2,2,1,NA,2
"E05000090",3,2,1,NA,NA,1,NA,1,1,3,2,1
"E05000091",7,5,11,NA,1,2,7,7,6,6,6,3
"E05000092",1,1,1,1,1,3,5,2,5,5,2,5
"E05000093",1,NA,1,NA,NA,NA,1,NA,1,NA,NA,1
"E05000094",5,7,3,NA,4,6,5,4,6,10,4,5
"E05000095",1,4,2,1,1,2,6,5,2,1,4,5
"E05000096",2,4,1,1,NA,NA,1,1,NA,NA,NA,2
"E05000097",NA,1,3,NA,NA,NA,NA,3,NA,NA,2,1
"E05000098",4,1,5,NA,2,1,2,3,1,2,3,1
"E05000099",3,2,2,4,NA,1,NA,1,1,2,1,3
"E05000100",3,3,NA,NA,3,2,1,3,NA,4,3,1
"E05000101",1,2,1,1,1,NA,1,NA,1,1,NA,2
"E05000102",8,18,9,1,1,1,5,6,7,10,4,3
"E05000103",1,1,NA,NA,2,NA,NA,NA,NA,NA,2,1
"E05000104",7,9,9,1,4,4,8,12,9,17,16,23
"E05000105",5,4,5,NA,1,3,1,2,4,4,2,3
"E05000106",NA,2,NA,NA,1,NA,NA,1,NA,NA,NA,1
"E05000107",NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA
"E05000108",1,NA,1,NA,NA,NA,NA,1,NA,1,1,NA
"E05000109",13,14,15,3,1,6,19,26,16,33,5,20
"E05000110",NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
"E05000111",1,1,NA,NA,NA,NA,1,1,1,NA,1,NA
"E05000112",NA,NA,NA,1,NA,1,NA,NA,NA,1,NA,1
"E05000113",NA,NA,1,1,NA,NA,NA,1,2,3,NA,NA
"E05000114",1,NA,1,1,NA,2,NA,1,NA,NA,NA,1
"E05000115",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
"E05000116",1,1,3,1,1,NA,2,1,6,2,1,NA
"E05000117",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
"E05000118",1,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA
"E05000119",1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
"E05000120",NA,1,NA,NA,1,NA,NA,NA,1,NA,10,1
"E05000121",NA,NA,NA,1,NA,1,NA,1,NA,NA,NA,NA
"E05000122",1,1,5,NA,2,1,2,4,NA,NA,1,1
"E05000123",2,1,1,NA,NA,2,1,2,1,2,5,4
"E05000124",NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
"E05000125",1,1,NA,NA,NA,NA,1,1,2,2,NA,NA
"E05000126",NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
"E05000127",NA,NA,NA,NA,NA,NA,NA,1,NA,1,1,1
"E05000128",7,5,3,NA,1,NA,1,NA,1,7,11,8
"E05000129",147,146,107,16,5,14,36,69,67,76,77,51
"E05000130",37,44,20,3,7,7,12,19,20,23,17,19
"E05000131",6,7,2,1,NA,1,1,3,2,2,4,2
"E05000132",2,1,NA,NA,NA,NA,1,NA,2,2,NA,1
"E05000133",2,8,NA,NA,1,4,2,2,4,9,5,2
"E05000134",2,1,NA,1,1,1,NA,1,2,4,4,1
"E05000135",3,1,1,1,2,3,1,NA,NA,4,10,7
"E05000136",3,7,3,1,3,NA,4,1,4,6,2,3
"E05000137",NA,2,2,NA,NA,1,1,1,2,NA,2,1
"E05000138",110,181,150,9,24,25,53,51,67,91,42,43
"E05000139",8,7,4,2,1,5,1,1,3,7,3,4
"E05000140",4,8,5,2,3,10,11,8,15,7,10,11
"E05000141",33,36,27,3,5,7,11,17,17,16,10,15
"E05000142",20,21,10,5,8,6,10,16,13,11,23,16
"E05000143",38,33,20,2,2,7,9,16,10,22,18,18
"E05000144",7,6,6,2,2,9,4,8,14,7,8,9
"E05000145",5,6,11,2,1,4,10,5,10,9,8,13
"E05000170",4,1,3,3,1,NA,2,NA,NA,NA,1,1
"E05000171",NA,1,NA,1,NA,2,1,3,1,NA,1,NA
"E05000172",NA,2,3,1,NA,NA,1,3,NA,1,1,NA
"E05000173",13,20,10,2,NA,4,5,7,15,17,4,19
"E05000174",1,NA,NA,NA,NA,2,1,3,1,NA,1,NA
"E05000175",3,2,5,1,NA,2,3,1,5,2,2,7
"E05000176",3,NA,4,2,NA,NA,NA,NA,2,3,1,10
"E05000177",5,3,4,2,NA,NA,2,3,3,4,2,1
"E05000178",1,NA,2,NA,1,NA,1,NA,1,2,NA,1
"E05000179",1,NA,NA,1,NA,NA,NA,NA,3,NA,1,NA
"E05000180",1,NA,3,NA,1,1,1,2,NA,2,1,1
"E05000181",NA,3,NA,NA,NA,NA,1,NA,NA,1,NA,NA
"E05000182",1,NA,NA,NA,NA,NA,NA,1,2,NA,1,NA
"E05000183",2,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"E05000184",1,4,NA,NA,1,1,1,1,2,3,NA,NA
"E05000185",1,1,NA,NA,3,1,NA,NA,2,1,3,NA
"E05000186",4,1,4,2,2,NA,1,NA,1,1,1,2
"E05000187",1,1,1,1,NA,NA,NA,NA,3,3,NA,NA
"E05000188",1,3,2,1,5,1,2,3,2,3,1,2
"E05000189",3,2,3,1,2,2,6,4,4,6,10,7
"E05000190",2,3,3,NA,NA,2,NA,NA,3,1,NA,NA
"E05000191",1,NA,NA,NA,NA,NA,1,NA,1,NA,1,NA
"E05000192",3,2,2,NA,NA,NA,2,2,1,NA,1,2
"E05000193",5,2,1,1,4,2,3,NA,1,2,1,2
"E05000194",1,1,NA,NA,NA,2,NA,1,1,NA,NA,NA
"E05000195",1,1,NA,NA,NA,2,1,NA,2,1,NA,2
"E05000196",2,2,NA,NA,1,NA,1,NA,1,1,NA,1
"E05000197",16,8,6,NA,5,6,8,12,6,9,18,17
"E05000198",2,NA,3,1,NA,NA,1,4,NA,2,1,4
"E05000199",2,NA,NA,NA,2,NA,NA,NA,NA,1,NA,1
"E05000200",22,7,7,NA,3,4,21,13,6,10,4,10
"E05000201",1,1,NA,NA,NA,NA,NA,NA,3,2,4,NA
"E05000202",2,NA,NA,NA,NA,NA,NA,NA,1,1,2,NA
"E05000203",2,NA,NA,NA,NA,NA,1,1,3,2,NA,3
"E05000204",1,NA,NA,NA,1,1,NA,3,2,NA,3,3
"E05000205",1,5,8,NA,1,3,2,3,3,NA,4,7
"E05000206",1,3,3,1,NA,3,2,NA,NA,5,3,2
"E05000207",3,2,2,NA,NA,1,NA,3,3,1,3,6
"E05000208",1,4,1,2,NA,NA,1,NA,4,NA,4,NA
"E05000209",NA,4,4,NA,3,NA,NA,NA,1,1,1,2
"E05000210",2,4,5,NA,3,2,3,6,2,6,6,6
"E05000211",1,1,1,NA,2,2,NA,NA,4,2,1,2
"E05000212",4,6,6,3,3,4,5,4,4,9,8,10
"E05000213",1,NA,NA,2,3,NA,NA,NA,2,NA,2,1
"E05000214",1,1,2,1,1,1,1,NA,NA,NA,NA,NA
"E05000215",NA,NA,1,NA,NA,1,NA,NA,1,NA,1,1
"E05000216",1,1,NA,NA,2,1,2,1,1,1,NA,NA
"E05000217",1,NA,NA,NA,NA,NA,1,2,1,NA,NA,NA
"E05000218",2,NA,NA,NA,NA,NA,3,2,1,1,NA,NA
"E05000219",3,3,1,NA,1,2,3,1,2,3,2,5
"E05000220",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"E05000221",NA,NA,1,NA,NA,1,NA,2,3,NA,1,NA
"E05000222",4,8,4,2,3,2,2,7,4,8,15,16
"E05000223",NA,1,NA,1,NA,NA,NA,NA,NA,NA,1,NA
"E05000224",NA,NA,NA,NA,1,1,1,NA,NA,NA,1,1
"E05000225",10,17,6,1,1,3,1,1,2,3,3,3
"E05000226",1,NA,2,1,NA,NA,NA,1,1,NA,2,1
"E05000227",1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
"E05000228",NA,1,NA,NA,NA,1,2,NA,3,NA,NA,4
"E05000229",2,1,1,NA,NA,1,5,NA,2,1,2,8
"E05000230",8,6,12,NA,1,5,6,4,9,4,4,4
"E05000250",2,2,4,NA,1,1,2,5,2,3,4,1
"E05000251",NA,NA,2,1,1,1,2,NA,1,2,1,1
"E05000252",5,5,1,NA,4,NA,1,1,NA,NA,3,1
"E05000253",1,5,1,NA,4,NA,NA,2,NA,1,NA,6
"E05000254",3,5,NA,2,1,NA,1,2,1,3,2,2
"E05000255",NA,NA,1,1,NA,NA,NA,2,1,1,NA,1
"E05000256",15,7,7,NA,2,3,9,10,13,14,7,7
"E05000257",NA,NA,NA,NA,NA,1,1,NA,NA,1,1,1
"E05000258",2,3,1,NA,NA,1,3,1,NA,NA,1,NA
"E05000259",NA,NA,1,NA,NA,NA,1,2,NA,NA,NA,NA
"E05000260",2,2,5,NA,NA,NA,2,1,2,2,1,4
"E05000261",3,5,1,1,1,1,NA,1,1,NA,NA,NA
"E05000262",1,1,1,NA,NA,NA,NA,NA,1,1,NA,1
"E05000263",24,25,17,1,6,3,24,28,16,52,15,30
"E05000264",6,5,3,1,NA,2,1,2,3,NA,NA,1
